Chiap1_GeneCatalog_proteins_20150110.aa.fasta	54742	DNA	v1.0	
Chicu1_GeneCatalog_proteins_20160411.aa.fasta	180810	DNA	v1.0	
Chlpad1_GeneCatalog_proteins_20160815.aa.fasta	90267	DNA	v1.0	
Chove1_GeneCatalog_proteins_20131210.aa.fasta	1336337	DNA	v1.0	
Chylag1_GeneCatalog_proteins_20170110.aa.fasta	64509	DNA	v1.0	
Chytri1_GeneCatalog_proteins_20161010.aa.fasta	1882861	DNA	v1.0	
Cirumb1_GeneCatalog_proteins_20170119.aa.fasta	101103	DNA	v1.0	
Claba1_GeneCatalog_proteins_20160826.aa.fasta	1442370	DNA		28348446
Clabul1_GeneCatalog_proteins_20160908.aa.fasta	585595	DNA	v1.0	
Claca1_GeneCatalog_proteins_20160902.aa.fasta	1279043	DNA		28348446
Clael1_GeneCatalog_proteins_20140828.aa.fasta	706981	DNA	v1.0	
Clafu1_GeneCatalog_proteins_20110826.aa.fasta	5499	DNA	v1.0	23209441
Clagr3_GeneCatalog_proteins_20111121.aa.fasta	27339	DNA	v2.0	
Claim1_GeneCatalog_proteins_20160902.aa.fasta	569365	DNA		28348446
Clalu1_2_GeneCatalog_proteins_20150216.aa.fasta	306902	DNA		19465905
ClaPMI390_GeneCatalog_proteins_20140716.aa.fasta	1486700	DNA	v1.0	
Clapol1_1_GeneCatalog_proteins_20180327.aa.fasta  	1437435	DNA	v1.0	
Claps1_GeneCatalog_proteins_20160902.aa.fasta	1182543	DNA		28348446
Clapy1_GeneCatalog_proteins_20140612.aa.fasta 	48021	DNA	v1.0	
Clasph1_GeneCatalog_proteins_20160727.aa.fasta	1151026	DNA		22544899
Claye1_GeneCatalog_proteins_20160831.aa.fasta	1182544	DNA		28348446
Clibor1_GeneCatalog_proteins_20161122.aa.fasta	239101	DNA	v1.0	
Cligib1_GeneCatalog_proteins_20161107.aa.fasta	378275	DNA	v1.0	
Cloaq1_GeneCatalog_proteins_20160307.aa.fasta	1231657	DNA	v1.0	28481340
Cloro1_GeneCatalog_proteins_20150131.aa.fasta	29856	DNA	v1.0	
Cocba1_GeneCatalog_proteins_20140926.aa.fasta	1450531	DNA	v1.0	
Cocca1_GeneCatalog_proteins_20120427.aa.fasta	930089	DNA	v1.0	23357949
CocheC4_1_GeneCatalog_proteins_20110824.aa.fasta	665024	DNA	v1.0	23236275
CocheC5_3_GeneCatalog_proteins_20110901.aa.fasta	701091	DNA	v2.0	23236275
Cocim1_GeneCatalog_proteins_20130907.aa.fasta	246410	DNA		19717792
Coclu2_GeneCatalog_proteins_20120521.aa.fasta	977863	DNA	v2.0	23236275
Cocmi1_GeneCatalog_proteins_20120427.aa.fasta	930090	DNA	v1.0	23357949
Cocsa1_GeneCatalog_proteins_20110610.aa.fasta	665912	DNA	v1.0	23236275
Cocst1_GeneCatalog_proteins_20151128.aa.fasta	380015	DNA	v1.0	
Cocvi1_GeneCatalog_proteins_20120501.aa.fasta	930091	DNA	v1.0	23357949
Coemoj1_GeneCatalog_proteins_20180326.aa.fasta 	4864	DNA	v1.0	
Coere1_GeneCatalog_proteins_20110909.aa.fasta	763665	DNA	v1.0	25977457
Coespi1_GeneCatalog_proteins_20170411.aa.fasta	417178	DNA	v1.0	
Cokrec1_GeneCatalog_proteins_20170123.aa.fasta	90255	DNA	v1.0	
Colac2_GeneCatalog_proteins_20170414.aa.fasta	27357	DNA	v2.0	
Colca1_GeneCatalog_proteins_20150403.aa.fasta	5460	DNA	v1.0	
Colce1_GeneCatalog_proteins_20161230.aa.fasta	343994	DNA	v1.0	
Coler1_GeneCatalog_proteins_20141231.aa.fasta	1173702	DNA	v1.0	
Colfa1_GeneCatalog_proteins_20141228.aa.fasta	129314	DNA	v1.0	
Colfi1_GeneCatalog_proteins_20160218.aa.fasta	1445577	DNA		24723700
Colgo1_GeneCatalog_proteins_20160414.aa.fasta	1209918	DNA	v1.0	
Colgr1_GeneCatalog_proteins_20130906.aa.fasta	645133	DNA		22885923
Colhig2_GeneCatalog_proteins_20170214.aa.fasta	759273	DNA		27540062
Collu1_GeneCatalog_proteins_20160428.aa.fasta	145971	DNA	v1.0	
