Rhizophagus irregularis DAOM 197198,Rhizophagus irregularis DAOM 181602=DAOM 197198,747089,TRUE
Talaromyces borbonicus CBS 141340,Talaromyces sp. JH-2018,2077152,TRUE
Trametes betulina CIRM-BRFM 1801,Lenzites betulinus,5632,TRUE
Acremonium chrysogenum ATCC 11550,Acremonium chrysogenum ATCC 11550,857340,TRUE
Aspergillus calidoustus,Aspergillus calidoustus,454130,TRUE
Aspergillus luchuensis CBS 106.47,Aspergillus luchuensis CBS 106.47,1137211,TRUE
Aspergillus multicolor,Aspergillus multicolor,41759,TRUE
Aspergillus nomius NRRL 13137,Aspergillus nomius NRRL 13137,1509407,TRUE
Aspergillus olivicola,Aspergillus olivicola,1250372,TRUE
Aspergillus recurvatus,Aspergillus recurvatus,41761,TRUE
Bisporella sp. PMI_857,Bisporella sp. PMI_857,1954211,TRUE
Blumeria graminis f. sp. tritici 96224,Blumeria graminis f. sp. tritici 96224,1268274,TRUE
Blyttiomyces helicus,Blyttiomyces helicus,388810,TRUE
Byssochlamys spectabilis No. 5,Byssochlamys spectabilis No. 5,1356009,TRUE
Cladosporium sphaerospermum UM 843,Cladosporium sphaerospermum UM 843,1151026,TRUE
Clavispora lusitaniae ATCC 42720,Clavispora lusitaniae ATCC 42720,306902,TRUE
Colletotrichum graminicola M1.001,Colletotrichum graminicola M1.001,645133,TRUE
Metschnikowia bicuspidata,Metschnikowia bicuspidata,27322,TRUE
Metschnikowia fructicola 277,Metschnikowia fructicola 277,1200864,TRUE
Moesziomyces aphidis DSM 70725,Moesziomyces aphidis DSM 70725,1391700,TRUE
Moniliella sp. MCA 3643,Moniliella sp. MCA 3643,1954213,TRUE
Nakaseomyces bacillisporus CBS 7720,Nakaseomyces bacillisporus CBS 7720,1279116,TRUE
Nakaseomyces delphensis CBS 2170,Nakaseomyces delphensis CBS 2170,1279113,TRUE
Ogataea parapolymorpha DL-1,Ogataea parapolymorpha DL-1,871575,TRUE
Ophiostoma novo-ulmi subsp. novo-ulmi H327,Ophiostoma novo-ulmi subsp. novo-ulmi H327,1224258,TRUE
Penicillium digitatum Pd1,Penicillium digitatum Pd1,1170230,TRUE
Penicillium nalgiovense FM193,Penicillium nalgiovense FM193,1439352,TRUE
Phyllosticta sp. CPC 27169,Phyllosticta sp. CPC 27169,1907483,TRUE
Phyllosticta sp. CPC 27913,Phyllosticta sp. CPC 27913,1882840,TRUE
Pochonia chlamydosporia 170,Pochonia chlamydosporia 170,1380566,TRUE
Pseudogymnoascus destructans 20631-21,Pseudogymnoascus destructans 20631-21,658429,TRUE
Puccinia striiformis f. sp. tritici PST-78,Puccinia striiformis f. sp. tritici PST-78,1165861,TRUE
Rhodotorula glutinis,Rhodotorula glutinis,5535,TRUE
Rozella allomycis CSF55,Rozella allomycis CSF55,988480,TRUE
Saksenaea vasiformis B4078,Saksenaea vasiformis B4078,1274794,TRUE
Thermomyces lanuginosus SSBP,Thermomyces lanuginosus SSBP,1158138,TRUE
Tilletiopsis sp. TKC30,Tilletiopsis sp. TKC30,1954214,TRUE
Ustilaginoidea virens,Ustilaginoidea virens,1159556,TRUE
