Name		OLD JGI ID	OLD NCBI Tax ID	JGI ID	Version	Publication	Portal Link
Xylaria grammica CBS 120713	FALSE			Xylgra1	v1.0		https://mycocosm.jgi.doe.gov/Xylgra1
Xylaria intraflava YMJ 725	FALSE			Xylint1	v1.0		https://mycocosm.jgi.doe.gov/Xylint1
Xylaria longipes CBS 148.73	FALSE			Xyllon1	v1.0		https://mycocosm.jgi.doe.gov/Xyllon1
Xylaria palmicola CBS 124036	FALSE			Xylpal124036_1	v1.0		https://mycocosm.jgi.doe.gov/Xylpal124036_1
Xylaria scruposa CBS 123580	FALSE			Xylscr1	v1.0		https://mycocosm.jgi.doe.gov/Xylscr1
Xylaria telfairii CBS 121673	FALSE			Xyltel121673_1	v1.0		https://mycocosm.jgi.doe.gov/Xyltel121673_1
Xylaria venustula FL0490	FALSE			Xylven1	v1.0		https://mycocosm.jgi.doe.gov/Xylven1
Yarrowia lipolytica CLIB89(W29)	FALSE			YarliW29_1		27603307	https://mycocosm.jgi.doe.gov/YarliW29_1
Yarrowia lipolytica YB392	FALSE			YarliYB392	v1.0	30533660	https://mycocosm.jgi.doe.gov/YarliYB392
Yarrowia lipolytica YB419	FALSE			YarliYB419	v1.0	30533660	https://mycocosm.jgi.doe.gov/YarliYB419
Yarrowia lipolytica YB420	FALSE			YarliYB420	v1.0	30533660	https://mycocosm.jgi.doe.gov/YarliYB420
Yarrowia lipolytica YB566	FALSE			YarliYB566	v1.0	30533660	https://mycocosm.jgi.doe.gov/YarliYB566
Yarrowia lipolytica YB567	FALSE			YarliYB567	v1.0	30533660	https://mycocosm.jgi.doe.gov/YarliYB567
Zalerion varium MPI-CAGE-AT-0135	FALSE			Zalva1	v1.0		https://mycocosm.jgi.doe.gov/Zalva1
Zoophthora radicans ATCC 208865	FALSE			Zoorad1	v1.0		https://mycocosm.jgi.doe.gov/Zoorad1
Aaosphaeria arxii CBS 175.79	TRUE	Aaoar1	1450172	Aaoar1	v1.0		https://mycocosm.jgi.doe.gov/Aaoar1
Abortiporus biennis CCBS 521	TRUE	Abobie1	137743	Abobie1	v1.0		https://mycocosm.jgi.doe.gov/Abobie1
Absidia repens NRRL 1336	TRUE	Absrep1	90262	Absrep1	v1.0	28481340	https://mycocosm.jgi.doe.gov/Absrep1
Acaromyces ingoldii MCA 4198	TRUE	Acain1	215250	Acain1	v1.0	29771364	https://mycocosm.jgi.doe.gov/Acain1
Acephala macrosclerotiorum EW76-UTF0540	TRUE	Acema1	886606	Acema1	v1.0		https://mycocosm.jgi.doe.gov/Acema1
Achaetomium strumarium CBS333.67	TRUE	Achstr1	79814	Achstr1	v1.0		https://mycocosm.jgi.doe.gov/Achstr1
Acidothrix acidophila CBS 136259	TRUE	Aciaci1	1442179	Aciaci1	v1.0		https://mycocosm.jgi.doe.gov/Aciaci1
Acidomyces richmondensis BFW	TRUE	Aciri1_iso	766039	Aciri1_iso		26973616	https://mycocosm.jgi.doe.gov/Aciri1_iso
Acremonium alcalophilum	TRUE	Acral2	398408	Acral2	v2.0		https://mycocosm.jgi.doe.gov/Acral2
Acremonium chrysogenum ATCC 11550	TRUE	Acrchr1	857340	Acrchr1		25291769	https://mycocosm.jgi.doe.gov/Acrchr1
Acremonium strictum DS1bioAY4a	TRUE	Acrst1	5046	Acrst1	v1.0		https://mycocosm.jgi.doe.gov/Acrst1
Agaricus bisporus var bisporus (H97)	TRUE	Agabi_varbisH97_2	936046	Agabi_varbisH97_2	v2.0	23045686	https://mycocosm.jgi.doe.gov/Agabi_varbisH97_2
Agaricus bisporus var. burnettii JB137-S8	TRUE	Agabi_varbur_1	597362	Agabi_varbur_1		23045686	https://mycocosm.jgi.doe.gov/Agabi_varbur_1
